"P6040","DIRECTORIO","SECUENCIA_ENCUESTA","id","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
89,7372729,5,"7372729-5",193055,NA,NA,NA,NA,178710,156059,615290,NA,193055,NA,178710,NA,NA,NA
64,7372735,1,"7372735-1",193073,NA,NA,63209,62727,178727,156071,615370,63209,193073,63209,178727,NA,63209,NA
76,7372737,1,"7372737-1",193079,NA,NA,63211,62729,178733,156076,615400,63211,193079,63211,178733,NA,63211,NA
76,7372737,2,"7372737-2",193080,NA,NA,NA,NA,178734,156077,615401,NA,193080,NA,178734,NA,NA,NA
69,7372739,1,"7372739-1",193087,NA,NA,63213,62731,178740,156080,615425,63213,193087,63213,178740,NA,63213,NA
74,7372739,2,"7372739-2",193088,NA,NA,NA,NA,178741,156081,615426,NA,193088,NA,178741,NA,NA,NA
82,7372739,4,"7372739-4",193090,NA,NA,NA,NA,178743,156083,615428,NA,193090,NA,178743,NA,NA,NA
70,7372744,1,"7372744-1",193106,NA,NA,63218,62736,178759,156097,615450,63218,193106,63218,178759,NA,63218,NA
72,7372744,2,"7372744-2",193107,NA,NA,NA,NA,178760,156098,615451,NA,193107,NA,178760,NA,NA,NA
79,7372752,4,"7372752-4",193142,NA,NA,NA,NA,178791,156119,615522,NA,193142,NA,178791,NA,NA,NA
60,7372754,1,"7372754-1",193144,NA,NA,63228,62746,178793,156121,615532,63228,193144,63228,178793,NA,63228,NA
63,7372761,2,"7372761-2",193163,NA,NA,NA,NA,178811,156136,615577,NA,193163,NA,178811,NA,NA,NA
66,7372773,1,"7372773-1",193199,NA,16328,63247,62765,178844,156162,615644,63247,193199,63247,178844,NA,63247,NA
79,7372775,1,"7372775-1",193205,NA,16330,63249,62767,178850,156167,615655,63249,193205,63249,178850,NA,63249,NA
71,7372775,8,"7372775-8",193212,NA,NA,NA,NA,178857,156173,615662,NA,193212,NA,178857,NA,NA,NA
68,7372779,1,"7372779-1",193222,NA,16331,63252,62770,178867,156181,615700,63252,193222,63252,178867,NA,63252,NA
69,7372779,2,"7372779-2",193223,NA,NA,NA,NA,178868,156182,615701,NA,193223,NA,178868,NA,NA,NA
67,7372781,1,"7372781-1",193226,NA,NA,63253,62771,178871,156185,615707,63253,193226,63253,178871,NA,63253,NA
66,7372783,1,"7372783-1",193229,NA,NA,63255,62773,178873,156187,615716,63255,193229,63255,178873,NA,63255,NA
62,7372783,2,"7372783-2",193230,NA,NA,NA,NA,178874,156188,615717,NA,193230,NA,178874,NA,NA,NA
66,7372787,1,"7372787-1",193246,NA,NA,63259,62777,178888,156198,615751,63259,193246,63259,178888,NA,63259,NA
60,7372787,2,"7372787-2",193247,NA,NA,NA,NA,178889,156199,615752,NA,193247,NA,178889,NA,NA,NA
60,7372789,1,"7372789-1",193252,NA,NA,63261,62779,178894,156202,615775,63261,193252,63261,178894,NA,63261,NA
